Region,GameCity,GameState,seed,team,score,games,fg,fga,fgPerc,3p,3pa,            3pPerc,2p,2pa,2pPerc,pts,opp_pts,ast,orb,drb,poss,tsPerc,efgPerc,tov,            toPerc,ft,fta,ftr,ortg,drtg,sos
One,at Washington, DC,1,Maryland,85,36,1083,2248,0.482,217,580,0.374,866,1668,0.482,3060,2552,714,473,1006,2717.5399932386745,0.5755081774822082,0.5300266903914591,495,0.18215003320340295,677,933,0.4150355871886121,1.126018387075582,0.939084615626433,9.38
One,at Washington, DC,16,Siena,70,36,853,2044,0.417,250,722,0.346,603,1322,0.417,2517,2482,465,402,959,2519.187994121969,0.5297252247701788,0.47847358121330724,550,0.21832431771003874,561,754,0.36888454011741684,0.9991314685021228,0.9852381028296657,-3.71
One,at Washington, DC,8,Wisconsin,80,32,731,1675,0.436,211,593,0.356,520,1082,0.436,2144,2101,407,328,704,2029.9668217054264,0.5460472697636511,0.4994029850746269,414,0.20394421996128398,471,655,0.39104477611940297,1.0561748975772773,1.0349922853590765,9.22
One,at Washington, DC,9,St. John's (NY),70,32,784,1953,0.401,139,484,0.287,645,1469,0.401,2250,2202,368,498,708,2244.8881094527364,0.4870467218508641,0.43701996927803377,484,0.21560094597230975,543,811,0.41525857654889914,1.0022771248712747,0.9808952128740208,6.3
One,at St. Louis, MO,5,Marquette,69,33,871,1841,0.473,173,456,0.379,698,1385,0.473,2413,2004,462,420,750,2211.420512820513,0.5591343034572249,0.520097772949484,455,0.20575010377365052,498,720,0.3910917979359044,1.0911538470457554,0.9062048526646058,4.77
One,at St. Louis, MO,12,Tulsa,71,34,961,2016,0.477,259,639,0.405,702,1377,0.477,2726,2363,586,373,841,2394.7622322899506,0.5838359262559112,0.5409226190476191,436,0.1820640037332986,545,724,0.35912698412698413,1.13831760132333,0.9867367908756526,2.3
One,at St. Louis, MO,4,Kentucky,83,32,905,2021,0.448,219,692,0.316,686,1329,0.448,2460,2183,471,492,791,2278.2833671083395,0.5343829831604191,0.5019792182088075,460,0.20190640314591102,431,638,0.31568530430479963,1.0797603298672633,0.958177561016356,11.99
One,at St. Louis, MO,13,Valparaiso,68,33,893,1989,0.449,275,785,0.35,618,1204,0.449,2564,2180,570,448,794,2304.589887278583,0.5524052465571623,0.5180995475113123,437,0.18962159055381408,503,754,0.3790849673202614,1.112562375697893,0.9459383693531229,-1.24
One,at Chicago, IL,6,Texas Tech,68,32,931,1999,0.466,146,388,0.376,785,1611,0.466,2532,2292,588,419,811,2313.9183414634144,0.54173869880013,0.5022511255627814,397,0.17157044519942796,524,768,0.384192096048024,1.0942477764356464,0.9905276080531207,7.22
One,at Chicago, IL,11,Southern Illinois,76,36,976,2115,0.461,220,601,0.366,756,1514,0.461,2717,2425,547,483,913,2538.3333882521492,0.5429222284389738,0.5134751773049645,493,0.19422192619838285,545,880,0.4160756501182033,1.0703873701440287,0.9553512596979278,1.67
One,at Chicago, IL,3,Georgia,85,32,871,1947,0.447,189,588,0.321,682,1359,0.447,2444,2271,495,468,758,2240.907536704731,0.542330155686922,0.4958911145351823,455,0.20304273717115542,513,696,0.3574730354391371,1.0906295596622064,1.013428694759767,9.24
One,at Chicago, IL,14,Murray State,68,32,941,2093,0.45,210,652,0.322,731,1441,0.45,2514,2349,465,510,771,2291.853395784543,0.5349027217484553,0.49976110845676064,456,0.19896560610671302,422,584,0.27902532250358336,1.0969288020883257,1.0249346682997125,-1.94
One,at Washington, DC,7,NC State,69,34,863,1910,0.452,278,773,0.36,585,1137,0.452,2565,2304,547,354,765,2304.7919034852544,0.5733329756987285,0.5246073298429319,452,0.1961131498754815,561,743,0.38900523560209427,1.1128987376783408,0.9996564099847554,8.17
One,at Washington, DC,10,Michigan State,58,31,764,1654,0.462,180,458,0.393,584,1196,0.462,2150,1978,438,377,786,2035.5008598452278,0.5639728873313328,0.5163240628778718,461,0.226479884678139,442,573,0.3464328899637243,1.0562510890629044,0.971751001937872,9.6
One,at Washington, DC,2,UConn,78,34,972,2012,0.483,154,391,0.394,818,1621,0.483,2646,2354,494,464,917,2497.9120926864593,0.5610020862662618,0.5213717693836978,545,0.21818221769920748,548,787,0.3911530815109344,1.0592846752882623,0.9423870467228154,7.43
One,at Washington, DC,15,Hampton,67,33,933,1940,0.481,218,615,0.354,715,1325,0.481,2623,2344,470,457,784,2354.2127880741336,0.5716589660883968,0.5371134020618556,489,0.20771274477700336,539,805,0.41494845360824745,1.1141728620656028,0.9956619095241224,-8.9
Two,at Greenville, SC,1,Duke,84,35,1093,2209,0.495,301,830,0.363,792,1379,0.495,3112,2421,625,428,875,2680.164113584037,0.5967081345584514,0.5629244001810774,501,0.18692885165529663,625,906,0.4101403349932096,1.1611229268488685,0.9033028939270921,9.16
Two,at Greenville, SC,16,Winthrop,37,31,725,1735,0.418,194,630,0.308,531,1105,0.418,2092,2018,359,405,773,2096.052037351443,0.5137625493624629,0.4737752161383285,459,0.2189831129288132,448,684,0.39423631123919306,0.9980668240677064,0.9627623570595752,-8.21
Two,at Greenville, SC,8,Notre Dame,82,33,934,2037,0.459,244,644,0.379,690,1393,0.459,2601,2256,629,436,915,2367.118016284234,0.5556267623686234,0.5184094256259205,435,0.18376777034667585,489,690,0.3387334315169367,1.098804530279779,0.9530576779358637,6.17
Two,at Greenville, SC,9,Charlotte,63,30,761,1730,0.44,247,676,0.365,514,1054,0.44,2205,2057,416,377,759,2040.311170774648,0.5509634989805301,0.511271676300578,408,0.19996949771396588,436,616,0.3560693641618497,1.0807175060276832,1.008179550974578,8.68
Two,at Sacramento, CA,5,Indiana,75,37,916,1990,0.46,270,659,0.41,646,1331,0.46,2607,2316,546,406,897,2430.328564850345,0.564422543993349,0.5281407035175879,508,0.20902523524891445,505,726,0.36482412060301506,1.0726944651455117,0.9529575685757595,12.08
Two,at Sacramento, CA,12,Utah,56,30,688,1467,0.469,236,582,0.405,452,885,0.469,2018,1839,439,263,654,1866.1395965103598,0.5824558972938025,0.5494205862304021,397,0.2127386401008699,406,603,0.4110429447852761,1.0813767650467392,0.98545682404408,5.18
Two,at Sacramento, CA,4,USC,89,32,909,2063,0.441,201,580,0.347,708,1483,0.441,2494,2232,504,455,776,2270.002843216897,0.5273084014140491,0.4893359185651963,389,0.17136542412816325,475,686,0.3325254483761512,1.0986770379836481,0.9832586803446282,8.3
Two,at Sacramento, CA,13,UNC Wilmington,93,33,784,1803,0.435,221,592,0.373,563,1211,0.435,2240,2034,453,374,762,2109.035721830986,0.5355776587605203,0.4961175818080976,403,0.19108258614516518,451,655,0.3632834165280089,1.0620967567373945,0.9644217871445806,-0.09
Two,at Pittsburgh, PA,6,California,82,32,835,1849,0.452,187,595,0.314,648,1254,0.452,2310,2130,487,365,722,2175.278288868445,0.5388735443415945,0.502163331530557,423,0.1944578779481313,453,669,0.3618171984856679,1.061933092340859,0.9791850591714413,7.45
Two,at Pittsburgh, PA,11,Penn,75,32,815,1701,0.479,266,668,0.398,549,1033,0.479,2342,2039,561,265,770,2122.870241545894,0.5947302129042743,0.5573192239858906,421,0.1983164075508562,446,609,0.35802469135802467,1.103223340817352,0.9604920546227929,-1.51
Two,at Pittsburgh, PA,3,Pitt,71,35,928,1974,0.47,220,682,0.323,708,1292,0.47,2530,2133,590,464,881,2386.289903345725,0.5489403065386819,0.5258358662613982,498,0.20869216238218724,454,751,0.38044579533941236,1.0602232345922364,0.8938561894803322,4.55
Two,at Pittsburgh, PA,14,Central Connecticut,54,32,814,1777,0.458,139,397,0.35,675,1380,0.458,2280,2018,426,418,829,2190.401940657578,0.5471089610688782,0.4971862689926843,480,0.2191378628234322,513,697,0.39223410241980866,1.0409048484113028,0.9212920982868462,-9.29
Two,at Greenville, SC,7,Oklahoma State,61,32,835,1863,0.448,167,510,0.327,668,1353,0.448,2293,2050,460,481,798,2218.532478498827,0.5272427938119677,0.49302200751476116,486,0.21906373006035618,456,708,0.38003220611916266,1.03356611734238,0.924034252312202,6.8
Two,at Greenville, SC,10,Kent State,69,36,986,2102,0.469,224,614,0.365,762,1488,0.469,2732,2305,483,474,848,2359.2510741301057,0.563103914520331,0.5223596574690771,391,0.16573055928104985,536,736,0.35014272121788775,1.1579945983525017,0.9770049594445521,2.1
Two,at Greenville, SC,2,Alabama,86,35,910,2071,0.439,217,703,0.309,693,1368,0.439,2658,2334,460,509,860,2436.7187509130754,0.5441458261681325,0.49179140511830033,490,0.20109009290316726,621,844,0.40753259295026556,1.0908111570135073,0.9578454629305967,7.67
Two,at Greenville, SC,15,Florida Atlantic,78,31,859,2011,0.427,178,527,0.338,681,1484,0.427,2303,2235,483,505,707,2215.8,0.5050793038107937,0.4714072600696171,474,0.21391822366639587,407,611,0.30382894082545997,1.0393537322863073,1.008665041971297,-5.33
Three,at St. Louis, MO,1,Kansas,70,37,1259,2487,0.506,224,536,0.418,1035,1951,0.506,3365,2765,767,557,1081,2988.989426129426,0.5865475792057118,0.5512665862484921,602,0.20140586471714497,623,867,0.3486127864897467,1.1257985627461675,0.9250618205031659,9.35
Three,at St. Louis, MO,16,Holy Cross,59,33,694,1711,0.406,148,439,0.337,546,1272,0.406,2083,1968,438,420,756,2108.760714285714,0.5058182453959127,0.4488603156049094,470,0.22287972116324248,547,791,0.46230274693161894,0.9877839557085831,0.9332495558494919,-5.1
Three,at St. Louis, MO,8,Stanford,84,30,822,1823,0.451,207,608,0.34,615,1215,0.451,2420,2180,480,446,808,2176.261228070175,0.5548626141824717,0.5076796489303346,409,0.18793699705006714,569,813,0.4459681843115743,1.111998857851253,1.001717979386666,9.03
Three,at St. Louis, MO,9,Western Kentucky,68,32,876,1884,0.465,279,734,0.38,597,1150,0.465,2491,2069,501,410,819,2243.387469487388,0.5730336044756892,0.5390127388535032,456,0.20326403985139294,460,658,0.3492569002123142,1.1103743931355698,0.9222660053783597,-0.28
Three,at Chicago, IL,5,Florida,82,31,892,1899,0.47,232,658,0.353,660,1241,0.47,2495,2064,519,430,773,2251.662261014131,0.5667157290303823,0.5308056872037915,463,0.20562586495164173,479,687,0.3617693522906793,1.1080702657761254,0.9166561236721135,8.37
Three,at Chicago, IL,12,Creighton,83,32,849,1829,0.464,230,619,0.372,619,1210,0.464,2421,2197,488,384,758,2204.4059544658494,0.569379115710254,0.527063969382176,458,0.2077657243994236,493,675,0.36905412793876435,1.0982550628187873,0.9966403853832613,1.38
Three,at Chicago, IL,4,Illinois,93,35,908,1932,0.47,254,692,0.367,654,1240,0.47,2708,2369,590,392,872,2448.000506329114,0.5858225745041707,0.5357142857142857,511,0.20874178689050488,638,862,0.44616977225672877,1.1062089215254154,0.9677285580109708,9.94
Three,at Chicago, IL,13,San Diego State,64,33,906,1902,0.476,147,409,0.359,759,1493,0.476,2455,2339,472,400,819,2361.096964725185,0.5497384543728279,0.5149842271293376,508,0.21515423025378697,496,752,0.3953732912723449,1.0397709355768643,0.9906412294559207,6.02
Three,at Dallas, TX,6,Texas,70,34,949,2096,0.453,200,544,0.368,749,1552,0.453,2657,2489,516,524,832,2413.3374926253687,0.541325748932425,0.5004770992366412,466,0.19309358986216973,559,814,0.3883587786259542,1.1009649533557617,1.0313518136629622,9.98
Three,at Dallas, TX,11,Boston College,57,32,801,1913,0.419,212,629,0.337,589,1284,0.419,2354,2257,431,452,740,2221.2190604026846,0.5220808715246358,0.47412441191845267,449,0.20214125117339882,540,776,0.40564558285415575,1.0597784081563046,1.0161086946511384,5.91
Three,at Dallas, TX,3,Mississippi State,70,35,943,1965,0.48,192,551,0.348,751,1414,0.48,2582,2334,566,457,902,2489.0680058866815,0.5601645347727233,0.5287531806615776,583,0.23422421509625155,504,772,0.3928753180661578,1.0373360606835704,0.9377003739873947,7.33
Three,at Dallas, TX,14,McNeese State,58,30,743,1687,0.44,171,466,0.367,572,1221,0.44,2102,1909,387,406,733,2079.353924495171,0.5290339467643861,0.491108476585655,480,0.23084093301554479,445,681,0.4036751630112626,1.0108909191639066,0.9180736273472396,-5.8
Three,at Sacramento, CA,7,Wake Forest,83,34,1001,2094,0.478,240,655,0.366,761,1439,0.478,2789,2620,553,438,871,2496.074270435447,0.5762301449562818,0.5353390639923591,497,0.19911266499025165,547,741,0.3538681948424069,1.1173545727521366,1.049648254073359,10.28
Three,at Sacramento, CA,10,Pepperdine,74,31,906,1990,0.455,233,635,0.367,673,1355,0.455,2519,2319,445,410,766,2299.020068027211,0.5522088353413654,0.5138190954773869,449,0.19530060056643475,474,661,0.3321608040201005,1.0956842156499982,1.0086906296515863,3.36
Three,at Sacramento, CA,2,Oregon,81,35,1014,2082,0.487,304,721,0.422,710,1361,0.487,2994,2538,580,384,896,2565.572,0.6083288633149656,0.5600384245917387,482,0.18787233412276091,662,861,0.41354466858789624,1.1669912206712576,0.9892530788455751,6.93
Three,at Sacramento, CA,15,Montana,62,31,760,1670,0.455,213,596,0.357,547,1074,0.455,2218,2263,452,306,741,2137.822922636103,0.5580604255147843,0.5188622754491018,464,0.2170432336032077,485,721,0.43173652694610776,1.0375040778705058,1.0585535294052997,-1.71
Four,at Pittsburgh, PA,1,Cincinnati,90,35,967,2071,0.467,209,577,0.362,758,1494,0.467,2738,2115,480,462,934,2431.660630372493,0.5610287849977051,0.5173829068083051,416,0.17107650418153753,595,839,0.40511830033800095,1.125979491464062,0.869775976788346,6.58
Four,at Pittsburgh, PA,16,Boston University,52,32,748,1767,0.423,203,567,0.358,545,1200,0.423,2147,2047,399,393,807,2085.316925,0.5227812840891383,0.48075834748160723,415,0.19901051731021652,448,651,0.3684210526315789,1.0295797124458672,0.9816253709253331,-7.81
Four,at Pittsburgh, PA,8,UCLA,80,33,902,1912,0.472,223,572,0.39,679,1340,0.472,2476,2398,475,393,816,2316.305459057072,0.5633520813993702,0.5300732217573222,496,0.2141341065620564,449,649,0.33943514644351463,1.0689436448541365,1.035269329709297,10.77
Four,at Pittsburgh, PA,9,Ole Miss,58,31,745,1618,0.46,235,618,0.38,510,1000,0.46,2232,1993,427,334,697,2066.1882250242484,0.5811652467348511,0.5330655129789864,476,0.23037591359539075,507,687,0.4245982694684796,1.0802500822372103,0.96457814242776,6.85
Four,at Albuquerque, NM,5,Miami (FL),80,32,818,1902,0.43,236,684,0.345,582,1218,0.43,2395,2156,525,388,786,2249.8665758091993,0.5442390197789412,0.4921135646687697,460,0.20445656864543352,523,678,0.35646687697160884,1.0645075693604635,0.9582790478251189,5.52
Four,at Albuquerque, NM,12,Missouri,93,36,1031,2253,0.458,326,834,0.391,705,1419,0.458,2877,2610,539,535,880,2553.2297526501766,0.5608274592976109,0.5299600532623169,511,0.200138667297605,489,709,0.3146915224145584,1.1268081131413104,1.0222346803263191,6.81
Four,at Albuquerque, NM,4,Ohio State,69,32,825,1702,0.485,175,466,0.376,650,1236,0.485,2362,2078,483,351,701,2127.9059980988595,0.5755921629788477,0.5361339600470035,421,0.19784708552733773,537,795,0.4670975323149236,1.110011439466916,0.9765468972109449,7.26
Four,at Albuquerque, NM,13,Davidson,64,31,776,1778,0.436,249,705,0.353,527,1073,0.436,2192,2046,484,369,824,2161.982514668902,0.5397525805689071,0.5064679415073116,486,0.22479367742455067,391,574,0.3228346456692913,1.0138842405650517,0.9463536296515035,0.71
Four,at Albuquerque, NM,6,Gonzaga,66,33,907,1931,0.47,237,606,0.391,670,1325,0.47,2677,2197,522,425,945,2391.0992700729926,0.5801404299583912,0.5310719834282756,458,0.1915436994742668,626,855,0.44277576385292594,1.119568741250245,0.9188242527182624,0.74
Four,at Albuquerque, NM,11,Wyoming,73,31,795,1745,0.456,132,440,0.3,663,1305,0.456,2324,2129,418,394,851,2217.112449799197,0.5470088688873406,0.49340974212034383,449,0.20251566402988075,602,862,0.49398280802292266,1.048210252127935,0.9602580149657375,2.72
Four,at Albuquerque, NM,3,Arizona,86,34,935,2039,0.459,258,686,0.376,677,1353,0.459,2793,2642,527,430,856,2486.015241057543,0.5724768385668607,0.521824423737126,478,0.19227557100440798,665,910,0.4462972045120157,1.123484664885589,1.062744892455326,12.48
Four,at Albuquerque, NM,14,UCSB,81,31,693,1544,0.449,201,499,0.403,492,1045,0.449,2066,1889,454,301,777,1966.349935064935,0.5666608153771887,0.5139248704663213,423,0.21511939073348674,479,634,0.4106217616580311,1.0506776861829399,0.9606631893511972,-0.05
Four,at Dallas, TX,7,Xavier,70,32,777,1732,0.449,197,552,0.357,580,1180,0.449,2317,2003,400,389,799,2146.404335016835,0.5576682391450852,0.5054849884526559,435,0.2026645180049863,566,785,0.4532332563510393,1.079479743028858,0.9331885737103163,4.09
Four,at Dallas, TX,10,Hawaii,58,33,818,1818,0.45,241,634,0.38,577,1184,0.45,2367,2081,546,338,765,2183.512420670898,0.5548419157634175,0.5162266226622663,407,0.18639692458215865,490,716,0.39383938393839385,1.0840332198672469,0.9530515971878922,1.15
Four,at Dallas, TX,2,Oklahoma,71,36,1011,2281,0.443,236,674,0.35,775,1607,0.443,2807,2327,517,543,896,2481.625364836692,0.5406311150829726,0.4949583516001754,427,0.17206465006779922,549,716,0.3138974134151688,1.1311135192981556,0.9376918986130417,7.7
Four,at Dallas, TX,15,UIC,63,34,862,1953,0.441,251,619,0.405,611,1334,0.441,2503,2400,462,423,757,2290.3275338983053,0.542742900758062,0.5056323604710702,435,0.18992916670726048,528,802,0.4106502816180235,1.0928567914213172,1.04788505769523,1.42
